IDSKEY	LABEL	Occurrences
4.81	strong, mighty, powerful	368
4.82	weak	308
4.83	well, health	328
4.84	sick, sickness	391
4.841	fever	258
4.842	goiter	162
4.843	cold (catarrh)	234
4.85	wound, sore	301
4.852	bruise	205
4.853	swelling	306
4.854	itch	239
4.855	blister	238
4.856	boil (noun)	259
4.857	pus	232
4.858	scar	240
4.86	cure, heal	299
4.87	physician	238
4.88	medicine, drug	282
4.89	poison	244
4.91	tired, weary	311
4.912	rest	247
4.92	lazy	274
4.93	bald	251
4.94	lame	255
4.95	deaf	252
4.96	mute	219
4.97	blind	251
4.98	intoxicated	273
4.99	naked, bare	272
5.11	eat	305
5.12	food	305
5.121	cooked	237
5.122	raw	254
5.123	ripe	274
5.124	green, unripe	305
5.125	rotten	299
5.13	drink	262
5.14	hunger	257
5.141	famine	224
5.15	thirst	240
5.16	suck	298
5.18	chew	262
5.181	swallow	257
5.19	choke	253
5.21	cook	281
5.22	boil (vb)	281
5.23	roast, fry	349
5.24	bake	212
5.25	oven	197
5.26	pot, cooking vessel	284
5.27	kettle	197
5.28	pan	193
5.31	dish	251
5.32	plate	229
5.33	bowl	260
5.34	pitcher, jug	288
5.35	cup, drinking vessel	244
5.36	saucer	180
5.37	spoon	217
5.39	fork	183
5.391	tongs	183
5.41	meal (a)	252
5.42	breakfast	188
5.43	lunch	150
5.44	dinner	171
5.45	supper	165
5.46	peel	293
5.47	sieve, strain	283
5.48	scrape	316
5.49	stir, mix	313
5.51	bread	204
5.53	dough	182
5.54	knead	224
5.55	meal, flour	217
5.56	crush, grind	352
5.57	mill	185
5.58	mortar	208
5.59	pestle	200
5.61	meat	241
5.63	sausage	167
5.64	soup, broth	252
5.65	vegetables	173
5.66	bean	207
5.7	potato	206
5.71	fruit	234
5.712	bunch	253
5.75	fig	131
5.76	grape	149
5.77	nut	181
5.78	olive	90
5.79	oil	209
5.791	grease, fat	311
5.81	salt	228
5.82	pepper	175
5.821	chili pepper	193
5.84	honey	224
5.85	sugar	169
5.86	milk (noun)	227
5.87	milk (vb)	195
5.88	cheese	151
5.89	butter	169
5.9	beverage, drink	223
5.91	mead	124
5.92	wine	162
5.93	beer	169
5.94	fermented drink	222
5.97	egg	240
5.971	egg yolk	193
6.11	put on (clothes)	279
6.12	clothing, clothes	306
6.13	tailor	167
6.21	cloth	284
6.22	wool	202
6.23	linen, flax	153
6.24	cotton	219
6.25	silk	146
6.27	felt	133
6.28	fur	207
6.29	leather	262
6.31	spin	224
6.32	spindle	193
6.33	weave	235
6.34	loom	156
6.35	sew	253
6.36	needle	230
6.37	awl	166
6.38	thread	251
6.39	dye	215
6.41	cloak	184
6.411	poncho	78
6.42	woman's dress	244
6.43	coat	197
6.44	shirt	202
6.45	collar	191
6.46	skirt	216
6.461	grass-skirt	58
6.48	trousers	225
6.49	stocking, sock	209
6.51	shoe	232
6.52	boot	181
6.54	shoemaker, cobbler	159
6.55	hat, cap	288
6.57	belt, girdle	263
6.58	glove	160
6.59	veil	135
6.61	pocket	198
6.62	button	194
6.63	pin	179
6.71	ornament, adornment	235
6.72	jewel	194
6.73	ring (for finger)	203
6.74	bracelet	204
6.75	necklace	250
6.76	bead	206
6.77	earring	233
6.78	headband, headdress	251
6.79	tattoo	127
6.81	handkerchief, rag	254
6.82	towel	186
6.91	comb	239
6.92	brush	168
6.921	braid	241
6.93	razor	186
6.94	ointment	203
6.95	soap	181
6.96	mirror	201
7.11	dwell, live	275
7.12	house	292
7.13	hut	258
7.131	garden-house	137
7.14	tent	175
7.15	yard, court	221
7.16	men's house	60
7.17	cookhouse	164
7.18	meeting house	156
7.21	room	225
7.22	door, gate	341
7.221	doorpost, jamb	162
7.23	lock (noun)	180
7.231	latch, door-bolt	187
7.24	key	166
7.25	window	209
7.26	floor	240
7.27	wall	239
7.31	fireplace	212
7.32	stove	184
7.33	chimney	173
7.37	ladder	223
7.42	bed	278
7.421	pillow	221
7.422	blanket	248
7.43	chair	232
7.44	table	186
7.45	lamp, torch	298
7.46	candle	196
7.47	shelf	191
7.48	trough	225
7.51	roof	248
7.52	thatch	177
7.53	ridgepole	161
7.54	rafter	222
7.55	beam	218
7.56	post, pole	271
7.57	board	200
7.58	arch	150
7.61	mason	160
7.62	brick	168
7.64	adobe	114
8.11	farmer	198
8.12	field (for cultivation)	266
8.13	garden	211
8.15	cultivate, till	242
8.16	fence	243
8.17	ditch	262
8.21	plow	201
8.212	furrow	175
8.22	dig	283
8.23	spade	194
8.24	shovel	222
8.25	hoe	191
8.27	rake	173
8.311	seed	266
8.32	mow, reap	246
8.33	sickle, scythe	244
8.34	thresh	195
8.35	threshing-floor	145
8.41	crop, harvest	232
8.42	grain (barley, oats etc)	209
8.43	wheat	158
8.44	barley	131
8.45	rye	118
8.46	oats	125
8.47	maize, corn	231
8.48	rice	165
8.51	grass	274
8.52	hay	178
8.53	plant (noun)	225
8.531	plant (vb)	252
8.54	root	255
8.55	branch	275
8.56	leaf	254
8.57	flower	248
8.6	tree	268
8.61	oak	136
8.62	beech	106
8.63	birch	120
8.64	pine	144
8.65	fir	128
8.66	acorn	105
8.67	vine	222
8.68	tobacco	235
8.69	smoke (tobacco)	229
8.691	pipe	182
8.72	tree stump	224
8.73	tree trunk	236
8.74	forked branch	182
8.75	bark	275
8.76	sap	238
8.81	palm tree	180
8.82	coconut	112
8.83	citrus fruit	136
8.84	banana tree	171
8.85	banyan	98
8.91	sweet potato	156
8.912	yam	100
8.92	tapioca, manioc, cassava	149
8.93	gourd	238
8.931	pumpkin, squash	214
8.94	bamboo	175
8.941	sugar cane	150
8.96	fish poison (root)	94
8.97	nettle	169
8.98	mushroom	248
9.11	do, make	299
9.12	work	269
9.14	bend	314
9.15	fold	297
9.16	tie, bind	312
9.161	untie	264
9.18	chain	194
9.19	rope, cord	305
9.192	knot (noun)	241
9.21	strike (hit, beat)	365
9.211	pound with fist	225
9.22	cut	348
9.221	cut down	260
9.222	chop, hew	279
9.223	stab	274
9.23	knife	212
9.24	scissors, shears	203
9.25	ax	241
9.251	adze	164
9.26	break	335
9.261	broken	257
9.27	split	286
9.28	tear	288
9.29	flay, skin	248
9.31	rub, wipe	311
9.32	stretch	278
9.33	pull	276
9.34	spread out	303
9.341	hang up	280
9.342	press	281
9.343	squeeze, wring	297
9.35	pour	285
9.36	wash	297
9.37	sweep	239
9.38	broom	239
9.422	tool	207
9.43	carpenter	167
9.44	build	259
9.46	bore	268
9.461	hollow out	243
9.48	saw	191
9.49	hammer	190
9.5	nail	217
9.56	glue	241
9.6	smith, blacksmith	172
9.61	forge	144
9.62	anvil	136
9.63	cast (metals)	143
9.64	gold	189
9.65	silver	175
9.66	copper, bronze	222
9.67	iron	181
9.68	lead (noun)	149
9.69	tin, tinplate	178
9.71	potter	157
9.72	mold (clay etc)	179
9.73	clay	257
9.74	glass	179
9.75	weave, plait	255
9.76	basket	310
9.77	mat	199
9.771	rug	208
9.78	netbag	151
9.79	fan (noun)	191
9.791	fan (vb)	201
9.81	carve	218
9.82	sculptor	104
9.83	statue	134
9.84	chisel	164
9.88	paint (noun)	240
9.89	paint (vb)	250
